Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-08-31,3509.73,3514.77,3493.25,3500.31,2545947629
2020-09-01,3507.44,3528.03,3494.6,3526.65,2246655768
2020-09-02,3543.76,3588.11,3535.23,3580.84,2579961224
2020-09-03,3564.74,3564.85,3427.41,3455.06,3196862882
2020-09-04,3453.6,3479.15,3349.63,3426.96,3045943569
2020-09-08,3371.88,3379.97,3329.27,3331.84,3071728677
2020-09-09,3369.82,3424.77,3366.84,3398.96,2509091751
2020-09-10,3412.56,3425.55,3329.25,3339.19,2581883711
2020-09-11,3352.7,3368.95,3310.47,3340.97,2351289169
2020-09-14,3363.56,3402.93,3363.56,3383.54,2364625122
2020-09-15,3407.73,3419.48,3389.25,3401.2,2482063450
2020-09-16,3411.23,3428.92,3384.45,3385.49,2860737276
2020-09-17,3346.86,3375.17,3328.82,3357.01,2739627914
2020-09-18,3357.38,3362.27,3292.4,3319.47,4080814747
2020-09-21,3285.57,3285.57,3229.1,3281.06,2996245686
2020-09-22,3295.75,3320.31,3270.95,3315.57,2388040936
2020-09-23,3320.11,3323.35,3232.57,3236.92,2481367969
2020-09-24,3226.14,3278.7,3209.45,3246.59,2414616135
2020-09-25,3236.66,3306.88,3228.44,3298.46,2201331092
2020-09-28,3333.9,3360.74,3332.91,3351.6,2218484960
2020-09-29,3350.92,3357.92,3327.54,3335.47,1947640906
2020-09-30,3341.21,3393.56,3340.47,3363,2621466321
2020-10-01,3385.87,3397.18,3361.39,3380.8,2354422841
2020-10-02,3338.94,3369.1,3323.69,3348.42,2354722287
2020-10-05,3367.27,3409.57,3367.27,3408.6,2040745749
2020-10-06,3408.74,3431.56,3354.54,3360.97,2551091954
2020-10-07,3384.56,3426.26,3384.56,3419.44,2084054405
2020-10-08,3434.28,3447.28,3428.15,3446.83,2094828307
2020-10-09,3459.67,3482.34,3458.07,3477.14,2209050833
2020-10-12,3500.02,3549.85,3499.61,3534.22,2240199001
2020-10-13,3534.01,3534.01,3500.86,3511.93,2358329289
2020-10-14,3515.47,3527.94,3480.55,3488.67,2173872805
2020-10-15,3453.72,3489.08,3440.89,3483.34,2007238547
2020-10-16,3493.5,3515.76,3480.45,3483.81,2213545513
2020-10-19,3493.66,3502.42,3419.93,3426.92,2185827606
2020-10-20,3439.38,3476.93,3435.65,3443.12,2114290333
2020-10-21,3439.91,3464.86,3433.06,3435.56,2067107215
2020-10-22,3438.5,3460.53,3415.34,3453.49,2402859482
2020-10-23,3464.9,3466.46,3440.45,3465.39,2155522498
2020-10-26,3441.42,3441.42,3364.86,3400.97,2435786612
2020-10-27,3403.15,3409.51,3388.71,3390.68,2395101697
2020-10-28,3342.48,3342.48,3268.89,3271.03,3147943500
2020-10-29,3277.17,3341.05,3259.82,3310.11,2752625684
2020-10-30,3293.59,3304.93,3233.94,3269.96,3003852681
2020-11-02,3296.2,3330.14,3279.74,3310.24,2525535542
2020-11-03,3336.25,3389.49,3336.25,3369.16,2329577555
2020-11-04,3406.46,3486.25,3405.17,3443.44,2901095649
2020-11-05,3485.74,3529.05,3485.74,3510.45,2559015385
2020-11-06,3508.34,3521.58,3484.34,3509.44,2167007972
2020-11-09,3583.04,3645.99,3547.48,3550.5,5061429532
2020-11-10,3543.26,3557.22,3511.91,3545.53,3455507092
2020-11-11,3563.22,3581.16,3557,3572.66,2515389885
2020-11-12,3562.67,3569.02,3518.58,3537.01,2414732971
2020-11-13,3552.57,3593.66,3552.57,3585.15,2276724987
2020-11-16,3600.16,3628.51,3600.16,3626.91,2864430679
2020-11-17,3610.31,3623.11,3588.68,3609.53,2343226894
2020-11-18,3612.09,3619.09,3567.33,3567.79,2667939337
2020-11-19,3559.41,3585.22,3543.84,3581.87,2246332374
2020-11-20,3579.31,3581.23,3556.85,3557.54,2212968548
2020-11-23,3566.82,3589.81,3552.77,3577.59,2493130026
2020-11-24,3594.52,3642.31,3594.52,3635.41,3170708990
2020-11-25,3635.5,3635.5,3617.76,3629.65,2305668031
2020-11-27,3638.55,3644.31,3629.33,3638.35,1229199673
2020-11-30,3634.18,3634.18,3594.39,3621.63,3644157125
2020-12-01,3645.87,3678.45,3645.87,3662.45,2637657489
2020-12-02,3653.78,3670.96,3644.84,3669.01,2382771239
2020-12-03,3668.28,3682.73,3657.17,3666.72,2642754327
2020-12-04,3670.94,3699.2,3670.94,3699.12,2591912420
2020-12-07,3694.73,3697.41,3678.88,3691.96,2340001316
2020-12-08,3683.05,3708.45,3678.83,3702.25,2264899108
2020-12-09,3705.98,3712.39,3660.54,3672.82,2756415535
2020-12-10,3659.13,3678.49,3645.18,3668.1,2412666569
2020-12-11,3656.08,3665.91,3633.4,3663.46,2308878899
